"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\README.md", "Markdown", 27, 0, 0, 0, 0, 0, 17, 44
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\package.json", "JSON", 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\reflection.md", "Markdown", 94, 0, 0, 0, 0, 0, 86, 180
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\controller\ControllerOrchestrator.js", "JavaScript", 0, 0, 39, 0, 0, 25, 11, 75
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\controller\PhotoEditorController.js", "JavaScript", 0, 0, 32, 0, 0, 21, 10, 63
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\controller\PhotoGalleryController.js", "JavaScript", 0, 0, 69, 0, 0, 17, 17, 103
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\css\main.css", "CSS", 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\index.html", "HTML", 0, 0, 0, 17, 0, 0, 4, 21
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\index.js", "JavaScript", 0, 0, 26, 0, 0, 0, 8, 34
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\model\PhotoModel.js", "JavaScript", 0, 0, 22, 0, 0, 5, 7, 34
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\services\PhotoAssistantService.js", "JavaScript", 0, 0, 62, 0, 0, 32, 21, 115
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\services\UploadService.js", "JavaScript", 0, 0, 44, 0, 0, 7, 10, 61
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\view\components\PhotoEditorView\PhotoEditorView.js", "JavaScript", 0, 0, 178, 0, 0, 13, 38, 229
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\view\components\PhotoEditorView\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\view\components\PhotoGalleryView\PhotoGalleryView.js", "JavaScript", 0, 0, 63, 0, 0, 10, 18, 91
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\src\view\components\PhotoGalleryView\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\testreport.md", "Markdown", 47, 0, 0, 0, 0, 0, 34, 81
"c:\Users\sabri\Mappar\Computer Science\cleancode\1dv610-L3\vite.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 1, 8
"Total", "-", 168, 24, 544, 17, 11, 130, 287, 1181